                  0         1         2         3         4         5         6         7         8
000000000  0.695604  0.031395  0.000009  0.000000  0.011053  0.002991  0.008598  0.000219  0.018336
100000200 -0.316232  0.153305  0.016300  0.002732  0.122978  0.000000 -0.174803  0.002318  0.857972
121000200 -0.100000  0.000000 -0.100000  0.000000  0.000000  0.000000 -0.100000  0.000000  0.000000
121000221  0.000000  0.000000  0.000000  0.000000  0.343900  0.000000  0.000000  0.000000  0.000000
terminal   0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
100000002 -0.238158  0.000000  0.135535  0.704230  0.060001  0.000000  0.000000  0.000000 -0.262163
100002102  0.000000  0.000000  0.000000  0.343900  0.000000 -0.100000 -0.100000 -0.100000 -0.100000
210000000 -0.100000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
210020010  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
210220110  0.000000  0.000000 -0.100000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
000000210  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
000002211  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
002102211  0.000000  0.000000  0.000000 -0.100000  0.000000 -0.100000  0.000000  0.000000  0.000000
202112211 -0.100000  0.050000  0.000000 -0.100000 -0.100000 -0.100000 -0.100000 -0.100000 -0.100000
000020100  0.000000  0.000000  0.000000  0.020412 -0.100000  0.000000 -0.100000  0.000000  0.000000
100020120  0.000000  0.000000  0.000000  0.190000  0.000000  0.000000  0.000000  0.000000  0.000000
001000002  0.000323  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
001200102  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
201201102  0.000000  0.000000 -0.100000  0.000000  0.000000  0.000000  0.000000 -0.100000  0.000000
200010000 -0.100000  0.000000  0.000000  0.000000 -0.100000  0.000000  0.000000  0.000000  0.000000
220011000  0.000000  0.000000  0.000000  0.190000  0.000000  0.000000  0.000000  0.000000  0.009000
000001020  0.000000  0.000000  0.000000  0.000000  0.000000 -0.190000  0.000000 -0.100000  0.000000
000001122  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
012001122  0.000000 -0.100000  0.000000  0.000000  0.000000 -0.100000  0.000000  0.000000  0.000000
112201122  0.000000  0.000000  0.000000  0.000000  0.135500 -0.100000  0.000000  0.000000 -0.100000
000020010  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000  0.000000
